Name,EP,GP
Destinyjoker,8456,282
Dtopd,8456,200
.Seed/Seardna,8456,236
gandamo,7511,200
Baowen,2413,200
HolyWallet🍐,8456,321
Highriskx (Mosanz),8456,200
SaltFishMax,2786,224
Nekgned,8456,200
Chubbyhoof,8456,331
LyleLyle,8213,200
Qialifornia,0,200
Marclegend,8456,304
Nailyo,8456,200
Necromanncer,8456,211
Icebluesky,8456,200
Cocacolaa,8456,336
Vermouth,6660,200
Pipinee,8123,259
Amai,8456,200
backkom,8456,200
Vurtnè,7913,311
Edoo,8456,238
AliceLiu,6660,200
Tiansoli,8233,275
Urel,8456,200
luckyfive,8456,200
Itchyspider,8456,200
Liiet,8456,200
Lan James,8456,210
Hitop,0,200
Riverwind,0,200
1cebox,1117,200
Nigeniu,8406,365
ding,5012,239
Ivankatrumpp,8213,200
Drunkchef,666,200
PusureDai 扑朔,8456,243
Jumppluff,7836,253
Jazo,480,200
Tearsinrain狮子🦁,713,200
Qialifivenia,8456,389
Cowbulous_BWL,7897,346
courtnylove,0,200
Kurogewagyu,7441,200
Pipidroo,8456,475
Elmelloi,8456,200
Toolmann,8456,200
Qiarolina,8456,200
Jiajunpeng,6440,200
Norinco,8456,217
kokdayo,908,200
byenew司令缺德,8456,210
Carepp,4929,200
Yokey,4427,200
Sword,3869,200
