Name,EP,GP
Destinyjoker,8724,368
Dtopd,8724,200
.Seed/Seardna,8724,200
gandamo,7877,200
Sword,5381,259
Baowen,1757,200
HolyWallet🍑,8724,305
Highriskx (Mosanz),8724,200
SaltFishMax,4590,200
Nekgned,8724,200
Chubbyhoof,8724,240
LyleLyle,8547,200
Qialifornia,0,200
Marclegend,8724,220
Yokey,5787,200
Nugliar,2560,471
Nailyo,8724,238
Necromanncer,8724,200
Icebluesky,8724,321
Cocacolaa,8724,243
Vermouth,4854,200
Pipinee,7671,200
Amai,8724,231
backkom,8724,200
Vurtnè,7562,277
Edoo / Haltwok,8724,200
AliceLiu,4854,200
Tiansoli,8561,200
Urel,8724,307
luckyfive,8724,200
Itchyspider,8724,225
Liiet,8724,268
Lan James,8724,238
Hitop,0,200
Riverwind,0,200
1cebox,813,200
Nigeniu,8688,265
ding,6213,213
Carepp,6153,287
Ivankatrumpp,6751,200
Drunkchef,485,200
PusureDai 扑朔,8724,247
Jumppluff,8272,200
Jazo,349,200
Tearsinrain狮子🦁,518,200
Qialifivenia,8724,378
Cowbulous_BWL,7371,251
courtnylove,0,200
Kurogewagyu,7218,331
Pipidroo,8724,433
Elmelloi,8724,200
Toolmann,8724,314
Qiarolina,8724,200
Jiajunpeng,7254,200
Norinco,8724,200
kokdayo,661,200
byenew司令缺德,6164,200
