Name,EP,GP
Destinyjoker,8861,404
Dtopd,8861,200
.Seed/Seardna,8861,403
gandamo,6380,200
Sword,6153,535
Baowen,1422,200
HolyWallet🍑,8861,282
Highriskx (Mosanz),8861,200
SaltFishMax,5513,297
Nekgned,8861,264
Chubbyhoof,8861,270
LyleLyle,8718,200
Qialifornia,0,200
Marclegend,8861,200
Yokey,6482,300
Nugliar-Only my railgun,3869,643
Nailyo,8861,250
Necromanncer,8861,200
Icebluesky,8861,316
Cocacolaa,8861,200
Vermouth,3931,200
Pipinee,8008,200
Amai,8861,200
backkom,8861,200
Vurtnè,7920,224
Edoo / Haltwok,7916,200
AliceLiu,3931,200
Tiansoli,8729,251
Urel,8861,248
luckyfive,7916,200
Itchyspider,7916,200
Liiet,8861,216
Lan James,7916,200
Hitop,0,200
Riverwind,0,200
1cebox,657,200
Nigeniu,7887,214
ding,6827,200
Carepp,6778,276
Ivankatrumpp,5467,200
Drunkchef,392,200
PusureDai 扑朔,8861,200
Jumppluff,8495,200
Jazo,282,200
Tearsinrain狮子🦁,419,200
Qialifivenia,8861,306
Cowbulous_BWL,7765,202
courtnylove,0,200
Kurogewagyu,7641,422
Pipidroo,8861,350
Elmelloi,8861,200
Toolmann,8861,339
Qiarolina,8861,265
Jiajunpeng,7670,200
Norinco,8861,342
kokdayo,534,200
byenew司令缺德,4992,200
