Name,EP,GP
Destinyjoker,9059,461
Dtopd,9059,265
.Seed/Seardna,9059,405
gandamo,5558,218
Sword,6914,253
Baowen,677,200
HolyWallet🍒,8114,203
Highriskx (Mosanz),9059,200
megicianred,3942,305
SaltFishMax,5662,233
Nekgned,9059,203
Chubbyhoof,8114,269
LyleLyle,6430,200
Qialifornia,0,200
Marclegend,8370,222
Yokey,7920,233
Nugliar-Only my railgun,5715,468
Nailyo,9059,200
Necromanncer,9059,200
Icebluesky,9059,243
Cocacolaa,9059,294
Vermouth,1878,200
Pipinee,8651,230
Amai,9059,200
backkom,9059,277
Vurtnè,7920,200
Edoo / Haltwok,6897,210
AliceLiu,1923,200
Tiansoli,8996,200
Urel,9059,200
luckyfive,3783,200
Itchyspider,3783,200
Liiet,9059,200
Lan James,3783,200
Hitop,0,200
Riverwind,0,200
1cebox,312,200
Nigeniu,6876,287
ding,4344,511
Carepp,6138,216
Ivankatrumpp,2613,200
Drunkchef,185,200
Dundunbro,4785,363
PusureDai 扑朔,8208,215
Shibo,4822,350
Jumppluff,8034,367
Jazo,132,200
Tearsinrain狮子🦁,198,200
Qialifivenia,9059,200
Cowbulous_BWL,7685,200
courtnylove,0,200
Kurogewagyu,8476,217
Pipidroo,9059,200
Elmelloi,9059,200
Toolmann,8114,247
Qiarolina,9059,200
Jiajunpeng,6951,226
Norinco,9059,203
kokdayo,253,200
byenew司令缺德,2385,200
Canonind,2560,281
peintre猎人,945,200
