Name,EP,GP
Destinyjoker,8796,449
Dtopd,8796,200
.Seed/Seardna,8796,448
gandamo,7089,200
Sword,5787,351
Baowen,1581,200
HolyWallet🍑,8796,274
Highriskx (Mosanz),8796,200
SaltFishMax,5076,200
Nekgned,8796,294
Chubbyhoof,8796,301
LyleLyle,8637,200
Qialifornia,0,200
Marclegend,8796,200
Yokey,6153,268
Nugliar,3249,527
Nailyo,8796,214
Necromanncer,8796,200
Icebluesky,8796,288
Cocacolaa,8796,218
Vermouth,4368,200
Pipinee,7848,200
Amai,8796,207
backkom,8796,200
Vurtnè,7750,249
Edoo / Haltwok,8796,200
AliceLiu,4368,200
Tiansoli,8649,200
Urel,8796,276
luckyfive,8796,200
Itchyspider,8796,202
Liiet,8796,241
Lan James,8796,214
Hitop,0,200
Riverwind,0,200
1cebox,731,200
Nigeniu,8764,238
ding,6536,200
Carepp,6482,258
Ivankatrumpp,6075,200
Drunkchef,436,200
PusureDai 扑朔,8796,222
Jumppluff,8389,200
Jazo,314,200
Tearsinrain狮子🦁,466,200
Qialifivenia,8796,340
Cowbulous_BWL,7578,225
courtnylove,0,200
Kurogewagyu,7441,469
Pipidroo,8796,389
Elmelloi,8796,200
Toolmann,8796,377
Qiarolina,8796,200
Jiajunpeng,7473,200
Norinco,8796,381
kokdayo,594,200
byenew司令缺德,5547,200
