Name,EP,GP
Destinyjoker,8841,414
Dtopd,8841,200
.Seed/Seardna,8841,473
gandamo,6022,200
Sword,6648,432
Baowen,1151,200
HolyWallet🍒,8841,348
Highriskx (Mosanz),8841,200
SaltFishMax,6129,396
Nekgned,8841,213
Chubbyhoof,8841,459
LyleLyle,8726,200
Qialifornia,0,200
Marclegend,8841,200
Yokey,6914,324
Nugliar-Only my railgun,4798,520
Nailyo,8841,202
Necromanncer,8841,200
Icebluesky,8841,280
Cocacolaa,8841,238
Vermouth,3183,200
Pipinee,8151,200
Amai,8841,200
backkom,8841,200
Vurtnè,8080,200
Edoo / Haltwok,8076,360
AliceLiu,3183,200
Tiansoli,8735,202
Urel,8841,200
luckyfive,6411,200
Itchyspider,6411,200
Liiet,8841,200
Lan James,6411,200
Hitop,0,200
Riverwind,0,200
1cebox,531,200
Nigeniu,8053,381
ding,855,224
Carepp,7155,273
Ivankatrumpp,4428,200
Drunkchef,316,200
PusureDai 扑朔,8841,200
Jumppluff,8545,200
Jazo,227,200
Tearsinrain狮子🦁,339,200
Qialifivenia,8841,247
Cowbulous_BWL,7954,200
courtnylove,0,200
Kurogewagyu,7853,341
Pipidroo,8841,283
Elmelloi,8841,200
Toolmann,8841,362
Qiarolina,8841,214
Jiajunpeng,7877,331
Norinco,8841,308
kokdayo,432,200
byenew司令缺德,4042,200
Dundunbro,1665,251
Shibo,1665,392
ziran,855,200
