Name,EP,GP
Destinyjoker,8915,634
Dtopd,8915,200
.Seed/Seardna,8915,470
gandamo,5687,201
Sword,7139,349
Baowen,931,200
HolyWallet🍒,8915,281
Highriskx (Mosanz),8915,200
megicianred,2447,268
SaltFishMax,6719,320
Nekgned,8915,280
Chubbyhoof,8915,371
LyleLyle,8822,200
Qialifornia,0,200
Marclegend,7970,306
Yokey,7354,261
Nugliar-Only my railgun,4606,421
Nailyo,8915,251
Necromanncer,8915,200
Icebluesky,8915,226
Cocacolaa,8915,200
Vermouth,2577,200
Pipinee,8356,238
Amai,8915,200
backkom,8915,238
Vurtnè,7354,200
Edoo / Haltwok,8296,291
AliceLiu,2577,200
Tiansoli,8829,200
Urel,8915,200
luckyfive,5192,200
Itchyspider,5192,200
Liiet,8915,200
Lan James,5192,200
Hitop,0,200
Riverwind,0,200
1cebox,429,200
Nigeniu,7467,307
ding,2447,287
Carepp,6438,220
Ivankatrumpp,3586,200
Drunkchef,255,200
Dundunbro,3103,231
PusureDai 扑朔,8915,296
Shibo,3103,316
Jumppluff,8676,505
Jazo,183,200
Tearsinrain狮子🦁,274,200
Qialifivenia,8915,251
Cowbulous_BWL,8197,200
courtnylove,0,200
Kurogewagyu,8115,275
Pipidroo,8915,228
Elmelloi,8915,200
Toolmann,8915,340
Qiarolina,8915,200
Jiajunpeng,7190,313
Norinco,8915,281
kokdayo,349,200
byenew司令缺德,3273,200
