Name,EP,GP
Destinyjoker,6483,200
Dtopd,6483,200
...Seed/Seardna,6483,200
gandamo,6483,200
Baowen,4768,200
HolyWallet🍐,6483,200
Highriskx (Mosanz),6483,202
SaltFishMax,1429,200
Nekgned,6483,200
Chubbyhoof,6483,353
LyleLyle,5787,234
Qialifornia,0,200
Marclegend,6483,212
Nailyo,6483,342
Necromanncer,6483,203
Icebluesky,6483,286
Cocacolaa,6483,270
Vermouth,6483,437
Pipinee,5529,371
Amai,6483,220
backkom,6483,250
Vurtnè,4929,301
Edoo,6483,200
AliceLiu,6483,200
Tiansoli,6031,319
Urel,6483,274
luckyfive,6483,200
Itchyspider,6483,224
Liiet,6483,455
Lan James,6483,270
Hitop,0,200
Riverwind,0,200
1cebox,3213,200
Nigeniu,6337,508
ding,5538,227
Ivankatrumpp,5787,200
Drunkchef,1917,200
Olw,0,200
PusureDai 扑朔,6483,277
Jumppluff,6483,558
Jazo,1385,200
Tearsinrain狮子🦁,2055,200
Qialifivenia,6483,265
Cowbulous_BWL,6483,200
courtnylove,0,200
Kurogewagyu,6281,417
Pipidroo,6483,216
Elmelloi,6483,256
BeyondH,0,200
Toolmann,6483,238
Qiarolina,6483,214
Jiajunpeng,6438,322
Norinco,6483,210
kokdayo,2614,200
byenew司令缺德,6483,200
