Name,EP,GP
Destinyjoker,8874,363
Dtopd,8874,200
.Seed/Seardna,8874,362
gandamo,5742,200
Sword,6437,481
Baowen,1279,200
HolyWallet🍒,8874,253
Highriskx (Mosanz),8874,200
SaltFishMax,5861,322
Nekgned,8874,237
Chubbyhoof,8874,511
LyleLyle,8746,200
Qialifornia,0,200
Marclegend,8874,208
Yokey,6733,270
Nugliar-Only my railgun,4382,578
Nailyo,8874,225
Necromanncer,8874,200
Icebluesky,8874,284
Cocacolaa,8874,265
Vermouth,3537,200
Pipinee,8107,200
Amai,8874,200
backkom,8874,200
Vurtnè,8028,201
Edoo / Haltwok,8024,200
AliceLiu,3537,200
Tiansoli,8756,225
Urel,8874,223
luckyfive,7124,200
Itchyspider,7124,200
Liiet,8874,200
Lan James,7124,200
Hitop,0,200
Riverwind,0,200
1cebox,591,200
Nigeniu,7998,200
ding,7044,200
Carepp,7000,304
Ivankatrumpp,4920,200
Drunkchef,352,200
PusureDai 扑朔,8874,200
Jumppluff,8545,200
Jazo,253,200
Tearsinrain狮子🦁,377,200
Qialifivenia,8874,275
Cowbulous_BWL,7888,200
courtnylove,0,200
Kurogewagyu,7776,379
Pipidroo,8874,315
Elmelloi,8874,200
Toolmann,8874,305
Qiarolina,8874,238
Jiajunpeng,7803,304
Norinco,8874,343
kokdayo,480,200
byenew司令缺德,4492,200
Dundunbro,900,200
Shibo,900,356
