Name,EP,GP
Destinyjoker,1800,200
Dtopd,1800,343
Seed/Seardna,1800,200
gandamo,1125,265
Baowen,0,200
HolyWallet,1800,200
Highriskx (Mosanz),1800,200
Nekgned,1800,200
Chubbyhoof,1800,251
LyleLyle,0,200
Qialifornia,0,200
MarcLegend,1800,200
Nailyo,1800,200
Necromanncer,1800,200
Icebluesky,1800,448
Cocacolaa,1800,200
Vermouth,1800,200
Amai,1800,200
backkom,1800,297
Vurtnè,0,200
Edoo,1800,200
AliceLiu,1800,200
Tiansoli,1800,200
luckyfive,1800,200
Itchyspider,1800,297
Liiet,1800,200
Lan James,1800,381
Hitop,0,200
Riverwind,0,200
1cebox,1800,238
Nigeniu,1800,200
Ivankatrumpp,0,200
PusureDai 扑朔,1800,200
Jumppluff,1800,200
Tearsinrain狮子🦁,1800,200
Qialifivenia,1800,200
Cowbulous_BWL,1800,238
Kurogewagyu,1800,200
Pipidroo,1800,259
Elmelloi,1800,200
Qiarolina,1800,200
Jiajunpeng,1800,200
Norinco,1800,224
kokdayo,1800,291
byenew,1800,200
courtnylove,0,200
Jazo,0,200
ding,1800,268
Pipinee,1800,200
Toolmann,1800,200
Urel,1800,200
喵星人小肥,0,200
