Name,EP,GP
Destinyjoker,6218,421
Dtopd,6447,328
.Seed/Seardna,6447,457
gandamo,3938,200
Sword,6447,375
Highriskx (Mosanz),6447,276
megicianred,4827,387
SaltFishMax,1522,532
Nekgned,6447,594
Chubbyhoof,3083,450
Qialifornia,0,200
Marclegend,6447,270
Yokey,6447,251
Nugliar-Railgun,6447,223
Nailyo,6447,666
Necromanncer,6447,306
Crocodyle,1168,223
Icebluesky,6447,428
Cocacolaa,6447,261
Pipinee,6447,200
Amai,6447,370
backkom,6447,423
Vurtnè,6447,200
Edoo / Haltwok,1982,200
AliceLiu,6447,200
Tiansoli,6447,200
Urel,6447,370
Liiet,3805,200
nigeniu萨满,2434,200
ding,2097,200
Carepp,6447,292
Dundunbro,6447,445
PusureDai 扑朔,6447,413
Shibo,4183,200
Jumppluff,6447,526
Qialifivenia,6447,662
Cowbulous_TAQ,4261,522
Kurogewagyu,6447,392
Pipidroo,6447,774
Elmelloi,6447,204
Toolmann,6447,361
Qiarolina,6447,226
Jiajunpeng,4073,204
Norinco,6447,200
Thehao,6447,308
Lwzs,990,234
Incubusx,0,200
jiang887769,0,200
Winguards,1840,200
GAYUE/Pirateglass,850,200
evering,1840,200
Burstliverr,1840,200
quitgamble,990,381
Lynx,1840,200
Nakedfish,1840,200
Sanjidaoa,0,200
Atagoclass,0,200
FS-Youdianniu,850,244
Moonhalfii,1840,200
peintre,850,200
Sarraah,0,200
wallander,1840,388
Ylferif & Exciting,1840,631
DZ-Giaogiao,850,200
Mgzz,850,200
Sbzz,850,200
Yokidouki,1840,200
Oxygenll,1840,200
JeeunSong,0,200
Mentor,990,200
Lan James,0,200
Crispyflower,990,200
unclenine,990,239
Bobahasaheart,0,200
